실행일,실행,종료,퍼널,실행 담당자,제안 담당자,소재,목적,타겟,이탈 가설,문구,예상 모수,랜딩,수단,추가 혜택,혜택 상세,Unnamed: 16,채널,Braze1,Braze2,예약 생성 (건),서비스 생애 단계,타겟 연령,설정 시간,리드타임,출발시각,타겟 차종,글로벌 대조군(건),순증(건),사업팀 전달,실험군,실험군_발송,실험군_1일이내_예약생성,실험군_예약전환율,실험군_3일이내_예약생성,실험군_3일이내_예약전환율,실험군_7일이내_예약생성,실험군_7일이내_예약전환율,대조군,대조군_발송,대조군_1일이내_예약생성,대조군_예약전환율
2025-08-22,True,True,T4__존 마커 클릭,패트,,실적 대응,편도 부스팅,"KTX/SRT/터미널 인근 쏘카존 클릭 회원
(집 > KTX 또는 KTX > 목적지)",가격 초과,"(광고)[쏘카]🚆🚌 편도요금 50%할인

KTX역·버스터미널 ↔ 집/목적지 이동
편도 50% 할인 쿠폰으로 편리하게 이동하세요.
[수신거부 : 설정]",,"15831 쿠폰 
하이라이트",15831 쿠폰,쿠폰,15831,,푸시,Promo_250820_타겟_패트_세일즈tf-ktx터미널존클릭시-편도v2_편도/부름_푸시_AB테스트,Promo_250820_타겟_패트_세일즈tf-ktx터미널존클릭시-편도v2_편도/부름_푸시_AB테스트,,L2. 당일 활성 회원: 당일 접속,,,,,,,,15830 / 15831,Variant,1695.0,561.0,33.1,672.0,39.6,640.0,37.8,Control,0.0,0.0,
2025-08-19,True,False,T2__대여시간 설정,지아나,,이탈,예약 전환 개선 - 장기 대여 유도,"대여시간대 2일 이상 클릭 회원 대상 장기 쿠폰 안내
(클릭 즉시)",고객 기대 가격 초과,"대여요금 【75% 쿠폰💌】 준비되어 있어요.
오래 빌려도 부담 없이 이용하세요!",,-,,쿠폰,?,,인앱메시지,Promo_250819_타겟_지아나_세일즈tf-장기대여쿠폰넛징-타임셋팅즉시_카셰어링(전체)_인앱메시지_AB테스트,Promo_250819_타겟_지아나_세일즈tf-장기대여쿠폰넛징-타임셋팅즉시_카셰어링(전체)_control_AB테스트,,L2. 당일 활성 회원: 당일 접속,,U5. 48시간 이상 ~,,,,,,15828,Variant,3249.0,1123.0,34.6,1399.0,43.1,1233.0,38.0,Control,528.0,161.0,30.0
2025-08-21,True,True,T2__대여시간 설정,지아나,,이탈,,"대여시간대 2일 이상 클릭 후 이탈 회원 대상 장기 쿠폰 안내
(클릭 후 30분 내 예약 없는 회원)",고객 기대 가격 초과,"(광고)[쏘카] 장시간 이용 고민되시죠?💭
보유하신 【대여료 75% 쿠폰】으로 
가격 부담 없이 이용해 보세요🚗
[수신거부 : 설정]",,"15828 쿠폰 
하이라이트",15828 쿠폰,쿠폰,15828,,푸시,Promo_250819_타겟_지아나_세일즈tf-장기대여쿠폰넛징-타임셋팅30분_카셰어링(전체)_푸시_AB테스트,Promo_250819_타겟_지아나_세일즈tf-장기대여쿠폰넛징-타임셋팅30분_카셰어링(전체)_푸시_AB테스트,,L2. 당일 활성 회원: 당일 접속,,U5. 48시간 이상 ~,,,,,,,Variant,806.0,140.0,17.4,225.0,27.9,204.0,25.3,Control,0.0,0.0,
2025-08-20,True,False,R1_결제 퍼널 이탈_예약 화면 진입,지아나,,이탈,주요 퍼널에서 이탈한 회원 대상 주행료 캠페인 넛징,결제페이지 이탈 회원,고객 기대 가격 초과,"🚨방금 그 혜택, 놓치기엔 아까워요.
지금 예약하고 무료 혜택 받기👉",27000,가지러가기,,,,,인앱메시지,HXP_250820-0930_전체_지아나_A-결제페이지이탈시-세일즈tf_카셰어링(전체)_인앱메시지_AB테스트,HXP_250820-0930_전체_지아나_A-결제페이지이탈시-세일즈tf_카셰어링(전체)_control_AB테스트,,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,10306.0,4833.0,46.9,5548.0,53.8,4967.0,48.2,Control,304.0,142.0,47.0
2025-08-20,True,False,B0_혜택 탐색 중 이탈_접속,지아나,,주행요금 개편,혜택 탐색 회원 대상 주행료 캠페인 넛징 및 예약 유도,이벤트/혜택 탭 클릭 회원,제공 혜택 미흡,"혜택 찾고 계신가요?👀
지금 카셰어링 대여 시 50km 주행요금+보장상품이 무료예요.",1100,"요금제 개편
메인 페이지",,,,,인앱메시지,HXP_250820-0930_전체_지아나_A-이벤트/혜택클릭시-세일즈tf_카셰어링(전체)_인앱메시지_AB테스트,HXP_250820-0930_전체_지아나_A-이벤트/혜택클릭시-세일즈tf_카셰어링(전체)_control_AB테스트,,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,572.0,125.0,21.9,177.0,30.9,193.0,33.7,Control,16.0,2.0,13.0
2025-08-20,True,True,B2__알림센터 클릭,지아나,,주행요금 개편,혜택 탐색 회원 대상 주행료 캠페인 넛징 및 예약 유도,알림센터 진입 회원,제공 혜택 미흡,"지금 카셰어링 이용 시
주행요금+보장상품= ""0원""",9300,"요금제 개편
메인 페이지",,,,,인앱메시지,HXP_250820-0930_전체_지아나_A-알림센터진입시-세일즈tf_카셰어링(전체)_인앱메시지_AB테스트,HXP_250820-0930_전체_지아나_A-알림센터진입시-세일즈tf_카셰어링(전체)_control_AB테스트,,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,5438.0,875.0,16.1,1276.0,23.5,1916.0,35.2,Control,132.0,19.0,14.0
2025-08-20,True,False,B4__쿠폰함 조회,지아나,,주행요금 개편,혜택 탐색 회원 대상 주행료 캠페인 넛징 및 예약 유도,쿠폰함 진입 회원 (쿠폰 받기 / 내 쿠폰),제공 혜택 미흡,"쿠폰으로 대여요금 할인받고 
주행요금+보장상품 무료 혜택 받으세요.",7000,"요금제 개편
메인 페이지",,,,,인앱메시지,HXP_250820-0930_전체_지아나_A-쿠폰북/쿠폰함진입시-세일즈tf_카셰어링(전체)_인앱메시지_AB테스트,HXP_250820-0930_전체_지아나_A-쿠폰북/쿠폰함진입시-세일즈tf_카셰어링(전체)_control_AB테스트,,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,12312.0,3134.0,25.5,4280.0,34.8,4755.0,38.6,Control,229.0,63.0,28.0
2025-08-20,True,True,T2__대여시간 설정,지아나,,주행요금 개편,주요 퍼널 진입 회원 대상 캠페인 넛징 및 예약 유도,가지러가기 클릭 회원 (타임셋팅 화면),고객 기대 가격 초과,"⏰지금 이용 시간 설정하면 
[무료]로 받을 수 있는 혜택을 확인할 수 있어요🔎",59000,-,,,,,인앱메시지,HXP_250820-0930_전체_지아나_A-가지러가기클릭시(타임셋팅)-세일즈tf_카셰어링(전체)_인앱메시지_AB테스트,HXP_250820-0930_전체_지아나_A-가지러가기클릭시(타임셋팅)-세일즈tf_카셰어링(전체)_control_AB테스트,,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,35685.0,10818.0,30.3,13271.0,37.2,13143.0,36.8,Control,970.0,299.0,31.0
2025-08-20,True,True,B0_혜택 탐색 중 이탈_접속,지아나,,주행요금 개편,이탈 회원 대상 단시간 내 리마인드 넛징 및 예약 유도,앱 접속 후 1시간 내 예약 없는 회원,이동 니즈 감소,"(광고)[쏘카] 예약이 늘고 있어요🔺
🚘인기 차량은 금방 마감돼요.
【주행요금 50km 무료】 이용하기 👉
[수신거부 : 설정]",32000,가지러가기,,,,,푸시,HXP_250820-0930_타겟_지아나_B1-이탈리마인드(H1/D1)-세일즈tf_카셰어링(전체)_푸시_AB테스트,HXP_250820-0930_타겟_지아나_B1-이탈리마인드(H1/D1)-세일즈tf_카셰어링(전체)_푸시_AB테스트,,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,29035.0,1950.0,6.7,3878.0,13.4,8450.0,29.1,Control,1310.0,105.0,8.0
2025-08-20,True,True,B0_혜택 탐색 중 이탈_접속,지아나,,주행요금 개편,이탈 회원 대상 리마인드 넛징 및 예약 유도,앱 접속 후 1일 내 예약 없는 회원,일정 변경,"(광고)[쏘카] 어제 본 무료 혜택🚨
주행요금 50km+보장상품 무료
👉지금 예약하고 혜택 즉시 받기
[수신거부 : 설정]",24000,"요금제 개편
메인 페이지",,,,,푸시,HXP_250820-0930_타겟_지아나_B1-이탈리마인드(H1/D1)-세일즈tf_카셰어링(전체)_푸시_AB테스트,HXP_250820-0930_타겟_지아나_B1-이탈리마인드(H1/D1)-세일즈tf_카셰어링(전체)_푸시_AB테스트,,L3. 최근 활성 회원 : 3일 내 접속,,,,,,,,,Variant,29035.0,1950.0,6.7,3878.0,13.4,8450.0,29.1,Control,1310.0,105.0,8.0
